"CAMPAIGN_CDE","CAMPAIGN_DESC","PIECES_RET_GOAL","PIECES_RET_ACTUAL","EXPENSES_BUDGET","EXPENSES_ACTUAL","CAMPAN_AMT_GOAL","CAMPAN_AMT_ACTUAL","CASH_GIFT_NUM","CASH_GIFT_AMT","PROMISE_NUM","PROMISE_AMT","PROMISE_PMT_NUM","PROMISE_PMT_AMT","MATCH_GIFT_NUM","MATCH_GIFT_AMT","MATCH_PMT_NUM","MATCH_PMT_AMT","SOFT_CREDIT_NUM","SOFT_CREDIT_AMT","NON_CASH_NUM","NON_CASH_AMT","GIFTS_NUM","GIFTS_AMT","DEFER_NUM","DEFER_AMT","DEFER_PMT_NUM","DEFER_PMT_AMT","DON_RESTR_NUM","DON_RESTR_AMT","ORG_RESTR_NUM","ORG_RESTR_AMT","FIRST_GIFT_DTE","FIRST_GIFT_AMT","LAST_GIFT_DTE","LAST_GIFT_AMT","LARGEST_GIFT_DTE","LARGEST_GIFT_AMT","SMALLEST_GIFT_DTE","SMALLEST_GIFT_AMT","CAMP_CONTACT_ID_NUM","CAMP_START_DATE","CAMP_END_DATE","ONLINE_GIVING_AVAIL","ONLINE_GIVING_DESC","USER_NAME","JOB_NAME","JOB_TIME"
"100 ","The 100","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","drlynch","w_campaign_list","4/21/2021 8:41:29 AM"
"1501","Bertha B. Scott Bridal Rm","0","0","0.00","0.00","0.00","138511.84","147","99073.04","10","374.98","11","666.55","0","0.00","0","0.00","69","44644.75","4","38772.25","162","138511.84","0","0.00","0","0.00","0","0.00","0","0.00","1/5/2000 12:00:00 AM","1000.00","3/26/2019 11:22:40 AM","3000.00","4/25/2012 2:56:50 PM","41625.00","12/16/2002 6:33:19 PM","15.00","","","","N","","drlynch","w_gift_entry","3/26/2019 11:26:54 AM"
"1502","Bible","0","0","0.00","0.00","0.00","5614.00","75","5514.00","20","150.00","15","100.00","0","0.00","0","0.00","1","25.00","0","0.00","90","5614.00","0","0.00","0","0.00","0","0.00","0","0.00","10/13/2003 12:00:00 AM","25.00","2/28/2007 12:00:00 AM","10.00","9/28/2004 1:35:13 PM","700.00","9/30/2005 12:00:00 AM","5.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 5:06:22 PM"
"1503","Altar","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1504","Joseph Johnson Sanctuary","0","0","0.00","0.00","0.00","1000.00","1","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","1","1000.00","0","0.00","1","1000.00","0","0.00","0","0.00","0","0.00","0","0.00","3/24/2004 12:00:00 AM","1000.00","3/24/2004 12:00:00 AM","1000.00","3/24/2004 12:00:00 AM","1000.00","3/24/2004 12:00:00 AM","1000.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:30:30 PM"
"1505","Braille Hymnals","0","0","0.00","0.00","0.00","680.00","1","170.00","0","0.00","0","0.00","1","510.00","1","510.00","2","680.00","0","0.00","2","680.00","0","0.00","0","0.00","0","0.00","0","0.00","4/7/2004 12:00:00 AM","170.00","4/18/2005 1:44:16 PM","510.00","4/18/2005 1:44:16 PM","510.00","4/7/2004 12:00:00 AM","170.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:42:18 PM"
"1506","Lg. Bible/Communion Table","0","0","0.00","0.00","0.00","600.00","1","200.00","1","400.00","1","400.00","0","0.00","0","0.00","0","0.00","0","0.00","2","600.00","0","0.00","0","0.00","0","0.00","0","0.00","7/28/2004 9:32:05 AM","400.00","7/28/2004 10:29:41 AM","200.00","7/28/2004 9:32:05 AM","400.00","7/28/2004 10:29:41 AM","200.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:33:09 PM"
"1509","Candle Lighters","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1510","Candles","0","0","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 12:00:00 AM"
"1511","Offering Trays","0","0","0.00","0.00","0.00","2500.00","1","2500.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","2500.00","0","0.00","0","0.00","0","0.00","0","0.00","12/30/2004 12:00:00 AM","2500.00","12/30/2004 12:00:00 AM","2500.00","12/30/2004 12:00:00 AM","2500.00","12/30/2004 12:00:00 AM","2500.00","","","","N","","MTALLEN","w_recalc_summ_info","8/8/2011 4:38:16 PM"
