"APPID","CAT_COMP_1","CAT_COMP_2","GIFT_CAT_DESC","CAMPAIGN_CDE","FIN_AID_ELEMENT","MEM_HONOR_CDE","FUTURE_GOAL_1","FUTURE_GOAL_2","FUTURE_GOAL_3","FUTURE_GOAL_4","FUTURE_GOAL_5","FUND_GOAL_AMT","ANNUAL_GOAL_AMT","FUND_TYPE","TOT_XFER_TO_BU","INC_INT_GENERATED","GIVING_CLUB_CDE","DESIGNATION_CDE","CASH_ACCT_CDE","CASH_GL_MASTER_APPID","REV_ACCT_CDE","REV_GL_MASTER_APPID","ASSET_ACCT_CDE","ASSET_GL_MASTER_APPID","LIAB_ACCT_CDE","LIAB_GL_MASTER_APPID","CASE_GROUP","CASE_LINE_NUM","FOLIO","CHARITABLE_FLAG","VALID_UNTIL_DTE","ACTION_REQ_FLAG","REQ_ACTION_DONE","GL_EXPECTED","GL_REVENUE","RANGE_1_LIMIT","RANGE_2_LIMIT","RANGE_3_LIMIT","RANGE_4_LIMIT","RANGE_5_LIMIT","RANGE_6_LIMIT","RANGE_7_LIMIT","RANGE_8_LIMIT","RANGE_9_LIMIT","RANGE_10_LIMIT","RANGE_11_LIMIT","RANGE_12_LIMIT","RANGE_1_NUM","RANGE_1_AMT","RANGE_2_NUM","RANGE_2_AMT","RANGE_3_NUM","RANGE_3_AMT","RANGE_4_NUM","RANGE_4_AMT","RANGE_5_NUM","RANGE_5_AMT","RANGE_6_NUM","RANGE_6_AMT","RANGE_7_NUM","RANGE_7_AMT","RANGE_8_NUM","RANGE_8_AMT","RANGE_9_NUM","RANGE_9_AMT","RANGE_10_NUM","RANGE_10_AMT","RANGE_11_NUM","RANGE_11_AMT","RANGE_12_NUM","RANGE_12_AMT","CASH_GIFT_NUM","CASH_GIFT_AMT","PROMISE_NUM","PROMISE_AMT","PROMISE_PMT_NUM","PROMISE_PMT_AMT","MATCH_GIFT_NUM","MATCH_GIFT_AMT","MATCH_PMT_NUM","MATCH_PMT_AMT","SOFT_CREDIT_NUM","SOFT_CREDIT_AMT","NON_CASH_NUM","NON_CASH_AMT","GIFTS_NUM","GIFTS_AMT","DEFER_NUM","DEFER_AMT","DEFER_PMT_NUM","DEFER_PMT_AMT","DON_RESTR_NUM","DON_RESTR_AMT","ORG_RESTR_NUM","ORG_RESTR_AMT","FIRST_GIFT_DTE","FIRST_GIFT_AMT","LAST_GIFT_DTE","LAST_GIFT_AMT","LARGEST_GIFT_DTE","LARGEST_GIFT_AMT","SMALLEST_GIFT_DTE","SMALLEST_GIFT_AMT","ALT_DESIGNATION_CD","ONLINE_GIVING_AVAIL","ONLINE_GIVING_DESC","PROJECT_CODE","APPROWVERSION","USER_NAME","JOB_NAME","JOB_TIME"
"1","CFDES","20258","Wiley College Summer Soiree","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1220","5509","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","13","1060.00","0","0.00","0.00","0.00","0","0.00","0","0.00","4","280.00","0","0.00","13","1060.00","0","0.00","0","0.00","0","0.00","0","0.00","6/4/2014 3:41:35 PM","30.00","7/9/2014 5:21:05 PM","30.00","6/9/2014 12:00:00 AM","250.00","6/4/2014 3:41:35 PM","30.00","","N","","","System.Byte[]","MTALLEN","w_gift_entry","7/9/2014 5:29:05 PM"
"2","CFDES","20259","Hall of Fame","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","05","05   0000 100  1240","5460","05   2402 430  4336","8035","01   0000 110  1017","5512","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","29","10350.00","0","0.00","10.00","1100.00","0","0.00","0","0.00","18","3050.00","0","0.00","39","11450.00","0","0.00","0","0.00","0","0.00","0","0.00","10/6/2014 12:00:00 AM","150.00","2/2/2016 10:16:31 AM","150.00","11/4/2014 12:00:00 AM","2500.00","10/20/2014 2:31:46 PM","50.00","","N","","","System.Byte[]","MTALLEN","w_gift_entry","2/2/2016 10:26:25 AM"
"3","CFDES","20260","Hall of Fame Ticket Sales","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","05","05   0000 100  1240","5460","05   2402 460  4320","7986","01   0000 110  1017","5512","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","25","2050.00","0","0.00","0.00","0.00","0","0.00","0","0.00","15","1100.00","0","0.00","25","2050.00","0","0.00","0","0.00","0","0.00","0","0.00","10/6/2014 12:00:00 AM","450.00","11/4/2014 11:28:21 AM","100.00","10/6/2014 12:00:00 AM","450.00","10/7/2014 12:00:00 AM","50.00","","N","","","System.Byte[]","MTALLEN","w_gift_entry","11/6/2014 4:01:16 PM"
"4","CFUNR","10000","Alumni-Annual Fund","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1225","9740","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2192","8104366.90","67","126750.00","58.00","20675.00","39","39930.61","26","16950.00","520","344037.44","36","42868.26","2312","8184860.16","0","0.00","0","0.00","0","0.00","0","0.00","10/11/1990 12:00:00 AM","15.00","3/8/8000 12:00:00 AM","100.00","4/20/1999 12:00:00 AM","712500.00","10/18/2000 12:00:00 AM","0.66","","N","","","System.Byte[]","JCOVARRUBIAS","w_gift_entry","4/19/2023 2:49:44 PM"
"5","ADMIN","40155","President's Discretionary","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1225","9740","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","43","179572.48","0","0.00","0.00","0.00","0","0.00","0","0.00","29","34950.00","0","0.00","43","179572.48","1","20000.00","0","0.00","0","0.00","0","0.00","5/15/2001 12:00:00 AM","10000.00","11/30/2022 12:00:00 AM","5000.00","12/31/2002 12:00:00 AM","100000.00","8/20/2020 3:35:37 PM","50.00","","N","","","System.Byte[]","JCOVARRUBIAS","w_gift_entry","12/14/2022 5:44:25 PM"
"6","ADMIN","40200","Institutional Advancement General Support","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   0000 100  1225","9740","01   0000 430  4336","5927","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","38","6845.00","0","0.00","0.00","0.00","0","0.00","0","0.00","37","5380.00","0","0.00","38","6845.00","0","0.00","0","0.00","0","0.00","0","0.00","5/7/2012 10:06:41 AM","25.00","8/13/2018 11:12:31 AM","15.00","5/6/2013 9:38:31 AM","2000.00","3/23/2018 9:19:01 AM","15.00","","N","","","System.Byte[]","drlynch","w_gift_entry","8/13/2018 1:07:33 PM"
"7","ADMIN","40201","Institutional Advan Strengthening Grant - Teagle","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","02","02   0000 100  1253","2156","02   0000 430  4206","2572","02   0000 110  1017","2164","","","A","00","","Y","12/31/2999 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","3","468000.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","3","468000.00","0","0.00","0","0.00","0","0.00","0","0.00","1/3/2001 12:00:00 AM","156000.00","4/20/2004 2:01:53 PM","118000.00","2/24/2003 3:00:22 PM","194000.00","4/20/2004 2:01:53 PM","118000.00","","N","","","System.Byte[]","MTALLEN","w_recalc_summ_info","8/8/2011 4:31:53 PM"
"8","ADMIN","40203","IA-Special Project","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","05","05   0000 100  1245","9742","05   1011 430  4336","8133","01   0000 110  1017","5512","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","46","8757.74","0","0.00","4.00","3800.00","0","0.00","0","0.00","26","7813.50","0","0.00","50","12557.74","0","0.00","0","0.00","0","0.00","0","0.00","11/6/2014 12:53:25 PM","1100.00","3/16/2018 2:37:18 PM","50.00","11/6/2014 12:53:25 PM","1100.00","1/27/2015 2:27:13 PM","9.70","","N","","","System.Byte[]","mtallen","w_gift_entry","3/16/2018 4:02:46 PM"
"9","ADMIN","40250","Institutional Advancement In-Kind Gifts","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","01","01   1018 540  5311","6662","01   0000 430  4700","5942","01   0000 110  1017","5512","","","A","00","","Y","12/31/2010 12:00:00 AM","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2","272.70","0","0.00","1.00","100.00","0","0.00","0","0.00","21","4550.43","62","15696.56","65","16069.26","0","0.00","0","0.00","0","0.00","0","0.00","1/8/1997 12:00:00 AM","255.00","10/17/2018 1:54:41 PM","349.95","10/26/2011 4:23:23 PM","1340.17","3/9/2012 3:53:29 PM","5.26","","N","","","System.Byte[]","drlynch","w_gift_entry","2/21/2019 9:03:28 AM"
"10","ADMIN","40251","Lilly Match","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","02","02   0000 100  1253","2156","","","","","","","A","00","","N","","N","N","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","8","750.00","0","0.00","0.00","0.00","0","0.00","0","0.00","0","0.00","0","0.00","8","750.00","0","0.00","0","0.00","0","0.00","0","0.00","5/5/2000 12:00:00 AM","50.00","1/3/2001 12:00:00 AM","50.00","12/6/2000 12:00:00 AM","200.00","5/5/2000 12:00:00 AM","50.00","","N","","","System.Byte[]","MTALLEN","w_recalc_summ_info","8/8/2011 4:19:40 PM"
