"GIFT_GROUP_NUM","GIFT_NUM","DONOR_ID","RECEIPT_ADDR_CDE","CAT_COMP_1","CAT_COMP_2","MEM_HONOR_CDE","AID_ELEMENT","CAMPAIGN_CDE","SOLICIT_CDE","GIVING_CLUB_CDE","SOLICITOR_ID","GIFT_DTE","GIFT_AMT","GIVING_RELATION","LETTER_TO_SEND","NOTATION_1","NOTATION_2","PROPOSAL_NUM","GIFT_CLASS","SUB_CLASS_CDE","LAST_RECPT_NUM","BANK_ID","CHECK_CC_NUM","LEGAL_TENDER","EXPIRE_DTE","ACK_DATE","GIFT_SET_CDE","ANON_GIFT_FLAG","PRINT_RECPT_YN","IMMED_LETTER_YN","BOOK_YN","SALUT_CDE","GIFT_MASTER_STS","DEDICATEE_NOTIFIED","DEDICATION_INFO","USER_NAME","JOB_NAME","JOB_TIME"
"4192","3","128029","","CFDES","20101","","","FO20","","","","1/2/2020 4:04:35 PM","1000.00","FR","","2020 Founders Observance","","","CS","CK","0","","959","","1/1/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/8/2020 9:12:33 AM"
"4201","1","25169","","ANSCH","30000","","","","","","","1/6/2020 1:14:23 PM","50.00","FR","","","","","CS","OL","0","","","","1/1/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/6/2020 1:15:31 PM"
"4201","2","131077","","CFUNR","10019","INM76","","","","","","1/6/2020 1:14:23 PM","25.00","FR","","","","","CS","OL","0","","","","1/2/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/6/2020 1:16:39 PM"
"4201","3","127394","","CFUNR","10017","INM77","","","","","","1/6/2020 1:14:23 PM","50.00","EM","","","","","CS","OL","0","","","","1/3/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/6/2020 1:17:12 PM"
"4201","4","127217","","CFUNR","10000","","","","","","","1/6/2020 1:14:23 PM","50.00","AL","","","","","CS","OL","0","","","","1/4/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/6/2020 1:17:36 PM"
"4201","5","38352","","CFDES","10190","","","","","","","1/6/2020 1:14:23 PM","20.00","AL","","","","","CS","OL","0","","","","1/6/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/6/2020 1:18:23 PM"
"4204","1","25247","","CFDES","10190","","","","","","","1/7/2020 2:42:44 PM","25.00","AL","","","","","CS","OL","0","","","","1/7/2019 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/7/2020 2:43:29 PM"
"4206","1","5924","","CFDES","10190","","","","","","","1/8/2020 3:15:33 PM","41.67","AL","","","","","CS","OL","0","","","","1/8/2019 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/8/2020 3:16:08 PM"
"4207","1","2482","","CFDES","10190","INH11","","","","","","1/9/2020 3:48:12 PM","1500.00","AL","","In Honor of Gloria Larry - Soft Credit","","","CS","OL","0","","","","1/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/9/2020 3:50:17 PM"
"4208","1","32715","","CFDES","20264","","","WC","","","","1/10/2020 11:46:22 AM","1000.00","AL","","","","","CS","CK","0","","1849","","1/7/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/10/2020 11:48:14 AM"
"4208","2","25327","","ENFUN","70109","","","","","","","1/10/2020 11:46:22 AM","1174.58","FD","","","","","CS","CK","0","","322733","","1/7/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/10/2020 11:49:40 AM"
"4209","1","25361","","CFDES","10195","","","","","","","1/13/2020 3:43:12 PM","40.00","OR","","","","","CS","CK","0","","2974","","1/12/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:46:18 PM"
"4209","2","63136","","CFUNR","10019","","","","","","","1/13/2020 3:43:12 PM","100.00","FR","","","","","CS","CK","0","","849","","1/8/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:48:05 PM"
"4209","3","24303","","ANSCH","30000","","","","","","","1/13/2020 3:43:12 PM","55.00","AL","","","","","CS","CK","0","","0001200427","","1/8/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:49:11 PM"
"4209","4","25327","","ENFUN","80000","","","","","","","1/13/2020 3:43:12 PM","511.33","FD","","Curtis & Barbara Grissett Fund","","","CS","CK","0","","323230","","1/9/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:50:38 PM"
"4209","5","25327","","ENSCH","30065","","","","","","","1/13/2020 3:43:12 PM","1299.24","FD","","","","","CS","CK","0","","322950","","1/7/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:51:35 PM"
"4209","6","25327","","ENFUN","70110","","","","","","","1/13/2020 3:43:12 PM","1099.30","FD","","","","","CS","CK","0","","322929","","1/7/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:52:16 PM"
"4209","7","25327","","ENFUN","80000","","","","","","","1/13/2020 3:43:12 PM","140.42","FD","","Williams Memorial Scholarship","","","CS","CK","0","","322864","","1/7/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 3:53:05 PM"
"4210","1","38352","","CFDES","10195","","","","","","","1/13/2020 4:04:54 PM","20.00","AL","","","","","CS","OL","0","","","","1/13/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/13/2020 4:05:37 PM"
"4214","1","131182","","CFUNR","10019","","","","","","","1/15/2020 3:01:19 PM","25.00","FR","","","","","CS","OL","0","","","","1/15/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/15/2020 3:05:17 PM"
"4214","2","122954","","CFUNR","10000","","","BTGD","","","","1/15/2020 3:01:19 PM","20.00","AL","","Bridging the Gap Campaign","","","CS","OL","0","","","","1/15/2020 12:00:00 AM","","AN","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/15/2020 3:04:25 PM"
"4215","1","126627","","ENSCH","32020","","","","","","","1/15/2020 3:08:38 PM","9818.00","FR","","","","","CS","CK","0","","6808","","1/8/2020 12:00:00 AM","","AS","N","Y","N","Y","","A","N","","drlynch","w_gift_entry","1/15/2020 3:10:52 PM"
