"GIFT_GROUP_NUM","GIFT_NUM","GIFT_TRAN_NUM","DONOR_ID","CAT_COMP_1","CAT_COMP_2","MEM_HONOR_CDE","AID_ELEMENT","CAMPAIGN_CDE","SOLICIT_CDE","GIVING_CLUB_CDE","MATCH_CO_ID","POLICY_CDE","MATCH_FORM_RECVD","SOLICITOR_ID","GIFT_DTE","GIFT_TRAN_AMT","GIVING_RELATION","CHARITABLE_YN","GIFT_TRAN_STS","SOFT_CREDIT_YN","PMT_RECVD","PMT_GROUP_NUM","PMT_GIFT_NUM","PMT_TRAN_NUM","GIFT_CLASS","SUB_CLASS_CDE","GIFT_SET_CDE","ANON_GIFT_TRAN","NOTATION_1","NOTATION_2","ORG_ACTION_REQ","DON_SPEC_ORG_USE","REQ_ACTION_DONE","VALID_UNTIL_DTE","RESTR_TYPE","CONTRIB_TYPE","BOOKED_YN","REASON_CDE","PERSON_REQ_CHG","PERSON_CHGING","REASON_DTE","MATURITY_AMT","MATURITY_DTE","PROPOSAL_NUM","GIFT_AREA_SEQ","UDEF_11_2N_1","UDEF_11_2N_2","UDEF_DTE_1","UDEF_DTE_2","UDEF_5A_1","UDEF_5A_2","UDEF_ID_1","UDEF_ID_2","UDEF_5N_1","UDEF_5N_2","USER_NAME","JOB_NAME","JOB_TIME"
"1288","38","100013","28291","CFDES","20257","","","","","","","","","","8/15/2020 12:00:00 AM","3333.33","TR","Y","C","N","N","","","","PT","","EN","N","","","N","N","N","7/23/2008 12:00:00 AM","U","C","N","GFTN","BSILMON","BSILMON","7/23/2008 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","BSILMON","w_gift_promise_entry","7/23/2008 12:06:12 PM"
"1288","38","100014","28291","CFDES","20257","","","","","","","","","","8/15/2021 12:00:00 AM","3333.33","TR","Y","C","N","N","","","","PT","","EN","N","","","N","N","N","7/23/2008 12:00:00 AM","U","C","N","GFTN","BSILMON","BSILMON","7/23/2008 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","BSILMON","w_gift_promise_entry","7/23/2008 12:06:12 PM"
"1288","38","100015","28291","CFDES","20257","","","","","","","","","","8/15/2022 12:00:00 AM","3333.38","TR","Y","C","N","N","","","","PT","","EN","N","","","N","N","N","7/23/2008 12:00:00 AM","U","C","N","GFTN","BSILMON","BSILMON","7/23/2008 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","BSILMON","w_gift_promise_entry","7/23/2008 12:06:12 PM"
"1288","39","100013","28291","CFUNR","10023","","","","","","","","","","8/15/2020 12:00:00 AM","3333.33","TR","Y","C","N","N","","","","PT","","AN","N","","","N","N","N","7/23/2008 12:00:00 AM","U","C","N","GFTN","BSILMON","BSILMON","7/23/2008 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","BSILMON","w_gift_promise_entry","7/23/2008 12:12:35 PM"
"1288","39","100014","28291","CFUNR","10023","","","","","","","","","","8/15/2021 12:00:00 AM","3333.33","TR","Y","C","N","N","","","","PT","","AN","N","","","N","N","N","7/23/2008 12:00:00 AM","U","C","N","GFTN","BSILMON","BSILMON","7/23/2008 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","BSILMON","w_gift_promise_entry","7/23/2008 12:12:35 PM"
"1288","39","100015","28291","CFUNR","10023","","","","","","","","","","8/15/2022 12:00:00 AM","3333.38","TR","Y","C","N","N","","","","PT","","AN","N","","","N","N","N","7/23/2008 12:00:00 AM","U","C","N","GFTN","BSILMON","BSILMON","7/23/2008 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","BSILMON","w_gift_promise_entry","7/23/2008 12:12:35 PM"
"1626","1","100012","28672","ACADE","41700","","","","","","","","","","9/15/2020 12:00:00 AM","21262.50","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100013","28672","ACADE","41700","","","","","","","","","","9/15/2021 12:00:00 AM","21262.50","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100014","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","155.00","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100015","28672","ACADE","41700","","","","","","","","","","9/15/2023 12:00:00 AM","21262.50","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100016","28672","ACADE","41700","","","","","","","","","","9/15/2024 12:00:00 AM","7805.70","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100017","28672","ACADE","41700","","","","","","","","","","9/15/2025 12:00:00 AM","21262.50","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100076","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","114.00","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100077","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","110.00","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100078","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","114.00","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100079","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","3172.69","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100080","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","8000.00","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100081","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","410.00","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100082","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","5737.50","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100083","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","126.74","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100084","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","102.47","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100085","28672","ACADE","41700","","","","","","","","","","9/15/2022 12:00:00 AM","154.55","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
"1626","1","100086","28672","ACADE","41700","","","","","","","","","","9/15/2024 12:00:00 AM","3172.69","TR","Y","C","N","Y","","","","PT","","AN","N","","","N","N","N","8/31/2009 12:00:00 AM","U","C","Y","GFTN","PBROWN","PBROWN","8/31/2009 12:00:00 AM","0.00","","","","0.00","0.00","","","","","","","0","0","CSHORT","w_book_reverse_promises","9/8/2009 4:09:54 PM"
