"SOLICIT_CDE","DESCRIPTION","USER_NAME","JOB_NAME","JOB_TIME"
"A09C1","Annual Fund 1st Appeal - 08/09","CSHORT","w_solicitation_maint","12/3/2009 9:50:28 AM"
"A09C2","Annual Fund 2nd Appeal - 08/09","CSHORT","w_solicitation_maint","12/3/2009 9:50:28 AM"
"A09C3","Annual Fund 3rd Appeal - 08/09","CSHORT","w_solicitation_maint","12/3/2009 9:50:28 AM"
"A09C4","Annual Fund 4th Appeal - 08/09","CSHORT","w_solicitation_maint","12/3/2009 9:50:28 AM"
"A09UN","Annual Fund Unsolicited -08/09","CSHORT","w_solicitation_maint","12/3/2009 9:50:28 AM"
"A10C1","Annual Fund 1st Appeal - 09/10","CSHORT","w_solicitation_maint","12/3/2009 9:43:21 AM"
"A10C3","Annual Fund 3rd Appeal - 09/10","CSHORT","w_solicitation_maint","3/3/2010 12:28:53 PM"
"A10P1","Annual Fund Phonathon","CSHORT","w_solicitation_maint","12/16/2009 10:03:18 AM"
"AFFO ","Annual Fund Founders-2011","MTALLEN","w_solicitation_maint","2/7/2011 3:35:25 PM"
"BRFUM","Benefit Recital First UMC","TE_ADMIN","w_solicitation_maint","10/12/2001 8:50:11 AM"
"BRHOU","Blue Ridge UMC, Houston","TE_ADMIN","w_solicitation_maint","10/12/2001 8:51:19 AM"
"C48  ","Class of 1948","AMORGAN","w_solicitation_maint","11/21/2006 11:03:10 AM"
"C60  ","Class of 1960","AMORGAN","w_solicitation_maint","6/9/2006 9:37:19 AM"
"C81  ","Class of 1981","AMORGAN","w_solicitation_maint","3/18/2006 10:15:34 AM"
"CL59 ","Pending Name","BSILMON","w_solicitation_maint","8/18/2003 1:20:01 PM"
"CLGF2","Class Gift 2","BSILMON","w_solicitation_maint","1/22/2002 3:26:45 PM"
"CLGFT","Class Gift 7","BSILMON","w_solicitation_maint","1/22/2002 3:26:45 PM"
"COW1 ","Class of 54 Stain Glass Window","BSILMON","w_solicitation_maint","2/8/2004 2:57:48 PM"
"COWF ","Class of 59 Stain Glass Window","BSILMON","w_solicitation_maint","8/29/2003 8:38:30 AM"
"CT   ","Choir Tour - Spring","BSILMON","w_solicitation_maint","4/14/2010 1:27:23 PM"
"CTCTF","Choir Tour-Chicago Temp","TE_ADMIN","w_solicitation_maint","12/19/2001 9:22:48 AM"
"CTLMB","Choir Tour - Fall","BSILMON","w_solicitation_maint","4/14/2010 1:27:23 PM"
"CTSLN","Choir Tour-Southlawn UMC","TE_ADMIN","w_solicitation_maint","12/19/2001 9:22:48 AM"
